Vertex1,Vertex2,Weight
32,98,1
28,31,1
8,78,1
27,63,1
16,29,1
1,14,1
29,94,1
27,64,1
6,45,1
22,51,1
76,93,1
9,20,1
12,52,1
72,99,1
32,67,1
74,81,2
12,53,2
56,72,2
32,38,2
9,46,2
30,83,2
29,49,2
45,81,2
15,85,2
23,29,2
88,89,2
18,93,2
40,79,2
16,88,2
44,46,3
8,57,3
61,82,3
27,60,3
11,32,3
20,78,3
21,49,3
18,85,3
23,61,3
9,19,3
7,24,3
15,42,3
59,91,3
14,89,3
6,14,3
7,67,3
46,77,3
47,61,3
11,87,4
3,16,4
25,76,4
79,91,4
19,39,4
76,91,4
7,97,4
27,50,4
10,86,4
14,75,4
10,13,4
19,88,4
7,91,4
36,52,4
39,72,4
69,92,4
33,99,4
28,52,5
49,59,5
59,80,5
39,96,5
65,94,5
35,95,5
32,41,5
8,68,5
28,44,6
17,70,6
51,70,6
13,18,6
19,35,6
26,38,6
6,83,6
88,92,6
24,54,7
28,70,7
20,55,7
58,90,7
34,66,7
55,84,7
37,49,8
64,71,8
4,95,8
2,60,8
48,99,8
22,90,8
5,33,9
45,50,9
72,100,9
34,70,10
25,62,10
14,43,10
66,73,10
