Vertex1,Vertex2,Weight
122,2,5
152,3,6
49,4,5
102,5,1
99,6,10
9,7,2
188,8,6
79,9,1
9,10,6
106,11,6
164,12,1
1,13,3
188,14,2
114,15,1
194,16,5
163,17,6
122,18,4
17,19,2
93,20,4
110,21,1
61,22,2
50,23,3
10,24,6
145,25,4
165,26,4
90,27,5
88,28,7
12,29,1
37,30,2
30,31,2
188,32,4
146,33,2
18,34,6
57,35,5
146,36,5
183,37,6
70,38,3
124,39,2
194,40,5
138,41,1
31,42,3
36,43,10
62,44,8
135,45,9
48,46,4
43,47,8
74,48,6
39,49,6
176,50,2
56,51,8
110,52,5
48,53,6
121,54,7
58,55,1
163,56,3
84,57,3
37,58,4
1,59,6
165,60,7
69,61,5
23,62,7
31,63,1
15,64,2
173,65,4
54,66,4
142,67,2
92,68,5
161,69,5
61,70,4
193,71,2
87,72,7
98,73,10
135,74,1
27,75,6
115,76,5
141,77,4
8,78,1
98,79,1
28,80,1
167,81,2
75,82,3
79,83,6
94,84,5
106,85,1
26,86,3
140,87,6
191,88,1
1,89,5
163,90,2
52,91,1
61,92,5
79,93,3
90,94,1
128,95,4
165,96,4
67,97,2
48,98,4
58,99,1
2,100,2
42,101,5
122,102,2
123,103,2
91,104,5
57,105,3
93,106,2
2,107,8
174,108,3
141,109,4
1,110,2
125,111,4
89,112,1
112,113,1
40,114,3
28,115,5
125,116,4
77,117,8
171,118,4
72,119,3
4,120,9
195,121,7
158,122,4
102,123,1
129,124,5
123,125,2
22,126,3
103,127,9
159,128,7
89,129,3
21,130,2
61,131,1
104,132,9
75,133,6
138,134,4
124,135,5
179,136,3
21,137,3
28,138,5
2,139,3
173,140,5
32,141,4
195,142,4
106,143,1
130,144,10
37,145,3
84,146,2
88,147,9
14,148,2
163,149,3
131,150,4
19,151,8
23,152,5
71,153,4
183,154,5
195,155,3
93,156,3
134,157,7
48,158,3
72,159,5
46,160,3
162,161,5
48,162,2
20,163,1
17,164,3
3,165,3
125,166,10
31,167,2
69,168,4
103,169,2
121,170,8
152,171,4
51,172,4
184,173,1
7,174,2
34,175,7
18,176,2
18,177,7
25,178,2
47,179,6
182,180,8
180,181,10
101,182,6
113,183,4
92,184,1
122,185,6
1,186,10
188,187,10
174,188,3
162,189,6
50,190,5
62,191,4
101,192,8
171,193,1
5,194,1
75,195,1
124,196,7
157,197,7
65,198,7
22,199,5
125,200,1
